Genome	Completeness	Contamination	Strain heterogeneity	GUNC pass	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	# predicted genes	5S rRNA	23S rRNA	16S rRNA	# tRNA	# tRNA types
D023.bin.38	64.31	5.17	0.0	True	3841909	0	760	760	5337	5337	5055	5055	17439	17439	58.7	1.14	88.73	4010	No	No	No	19	11
D023.bin.39	30.25	12.07	0.0	True	1710629	0	532	532	3111	3111	3215	3215	8733	8733	71.0	1.74	95.04	2233	No	No	No	11	11
D023.bin.4	85.99	5.6	66.67	True	3406825	0	232	232	23119	23119	14684	14684	81428	81428	71.7	1.21	94.32	3724	Yes	No	No	48	22
D023.bin.40	65.35	36.91	4.66	False	3909162	0	1041	1041	3651	3651	3755	3755	19625	19625	65.3	1.43	90.05	4701	No	No	No	37	16
D023.bin.41	42.89	1.29	0.0	True	2174581	0	521	521	4218	4218	4173	4173	12375	12375	55.9	1.32	89.02	2426	Yes	No	No	10	7
D023.bin.42	53.21	8.62	33.33	True	1549113	0	381	381	4003	4003	4065	4065	13009	13009	68.0	1.66	94.39	1723	No	No	No	11	10
D023.bin.43	94.44	5.09	71.43	True	4258059	0	133	133	67007	67007	32015	32015	185131	185131	68.3	1.17	93.11	3993	No	No	Yes	41	21
D023.bin.44	83.14	88.35	2.77	False	6847145	0	1869	1869	3614	3614	3663	3663	13654	13654	65.9	2.0	88.95	8239	No	No	No	73	18
D023.bin.45	0.0	0.0	0.0	True	366063	0	99	99	3576	3576	3697	3697	9503	9503	71.6	1.56	94.78	428	No	No	No	1	1
D023.bin.46	95.78	5.98	25.0	True	8089158	0	297	297	43639	43639	27236	27236	151719	151719	68.3	2.4	89.83	6687	Yes	No	No	54	22
D023.bin.47	91.72	1.87	33.33	True	2376707	0	176	176	17695	17695	13504	13504	101834	101834	69.3	1.61	91.79	2504	Yes	Yes	No	54	21
D023.bin.48	86.27	2.98	40.0	True	6126539	0	842	842	8478	8478	7276	7276	39095	39095	64.0	2.46	82.91	7102	Yes	No	No	78	20
D023.bin.49	0.0	0.0	0.0	True	232168	0	19	19	19062	19062	12219	12219	28308	28308	55.3	1.37	89.32	245	No	No	No	1	1
D023.bin.5	17.24	0.0	0.0	True	1783280	0	471	471	3762	3762	3786	3786	9603	9603	61.7	1.26	93.12	2027	No	No	No	10	8
D023.bin.50	78.35	4.27	14.29	True	5397161	0	416	416	18427	18427	12973	12973	67714	67714	66.8	0.99	93.6	4912	No	No	No	38	20
D023.bin.51	18.79	0.0	0.0	False	1059025	0	306	306	3431	3431	3460	3460	8572	8572	71.3	1.64	94.02	1297	No	No	Yes	5	4
D023.bin.52	15.52	0.0	0.0	True	955121	0	286	286	3262	3262	3339	3339	9303	9303	71.0	2.33	91.46	1029	No	No	No	3	3
D023.bin.53	4.17	0.0	0.0	True	219758	0	65	65	3313	3313	3380	3380	5726	5726	68.8	2.12	93.33	285	No	No	No	2	2
D023.bin.54	0.0	0.0	0.0	True	270241	0	33	33	11034	11034	8189	8189	20275	20275	51.8	0.58	81.69	319	No	No	No	4	4
D023.bin.55	96.68	9.4	16.67	True	6908497	0	142	142	85692	85692	48651	48651	231838	231838	64.3	0.81	94.31	5836	Yes	No	Yes	42	21
D023.bin.56	100.0	351.39	22.78	True	16159958	0	2340	2340	8397	8397	6905	6905	51924	51924	70.2	1.59	93.39	18371	No	No	Yes	210	23
D023.bin.57	70.85	17.74	13.95	True	5706734	0	665	665	10716	10716	8581	8581	101769	101769	69.4	1.59	93.55	6087	Yes	No	No	41	21
D023.bin.58	32.45	0.0	0.0	True	4163543	0	791	791	5401	5401	5263	5263	55749	55749	55.2	1.21	87.98	4529	No	No	No	39	15
D023.bin.59	34.78	0.0	0.0	True	1032895	0	259	259	4047	4047	3988	3988	9553	9553	37.8	1.41	76.26	1362	Yes	No	No	17	11
D023.bin.6	4.17	0.0	0.0	True	485713	0	149	149	3204	3204	3259	3259	6262	6262	66.0	1.32	91.72	587	No	No	No	2	2
D023.bin.7	79.31	29.53	44.44	True	6495545	0	1168	1168	6192	6192	5561	5561	33671	33671	71.5	1.64	94.41	7550	Yes	No	No	47	20
D023.bin.8	11.24	0.0	0.0	True	388293	0	108	108	3725	3725	3595	3595	9713	9713	67.6	1.43	91.81	477	No	No	No	6	6
D023.bin.9	98.24	1.71	50.0	True	6125184	0	201	201	52227	52227	30473	30473	170192	170192	57.0	0.83	88.21	5404	Yes	Yes	Yes	60	22
